long,lat,periodo,titulo_proyecto,productora_razon_social,tipo_produccion,fecha_rodaje,direccion,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.39685655,-34.58588355,2011,VIUDAS,PATAGONIK FILM GROUP SA,LARGOMETRAJE,2011-01-18,"GELLY Y OBES, GRAL. AV. 2268","GELLY Y OBES, GRAL. AV.",2268,RECOLETA,COMUNA 2,1425,C1425EMB
-58.39685655,-34.58588355,2011,VIUDAS,PATAGONIK FILM GROUP SA,LARGOMETRAJE,2011-07-02,"GELLY Y OBES, GRAL. AV. 2268","GELLY Y OBES, GRAL. AV.",2268,RECOLETA,COMUNA 2,1425,C1425EMB
-58.39685655,-34.58588355,2011,VIUDAS,PATAGONIK FILM GROUP SA,LARGOMETRAJE,2011-01-24,"GELLY Y OBES, GRAL. AV. 2268","GELLY Y OBES, GRAL. AV.",2268,RECOLETA,COMUNA 2,1425,C1425EMB
-58.39685655,-34.58588355,2011,VIUDAS,PATAGONIK FILM GROUP SA,LARGOMETRAJE,2011-01-21,"GELLY Y OBES, GRAL. AV. 2268","GELLY Y OBES, GRAL. AV.",2268,RECOLETA,COMUNA 2,1425,C1425EMB
-58.39656593,-34.58558403,2011,LOS DOBLES,FUNDACION DEL CINE,ESTUDIANTES,2011-05-25,"GELLY Y OBES, GRAL. AV. 2295","GELLY Y OBES, GRAL. AV.",2295,RECOLETA,COMUNA 2,1425,C1425EMA
-58.39641037,-34.58519043,2015,A LA MAULA,ROZCA SA,CINE PUBLICITARIO,2015-01-16,"GELLY Y OBES, GRAL. AV. 2300","GELLY Y OBES, GRAL. AV.",2300,RECOLETA,COMUNA 2,1425,C1425EMB
-58.39641037,-34.58519043,2013,LA VIDA DESPUES,CEPA AUDIOVISUAL SRL,LARGOMETRAJE CON I.N.C.A.A.,2013-10-05,"GELLY Y OBES, GRAL. AV. 2300","GELLY Y OBES, GRAL. AV.",2300,RECOLETA,COMUNA 2,1425,C1425EMB
-58.39641037,-34.58519043,2015,POWERADE,BRITE PRODUCTIONS LATIN AMERICA SRL,FOTOGRAFIA,2015-11-25,"GELLY Y OBES, GRAL. AV. 2300","GELLY Y OBES, GRAL. AV.",2300,RECOLETA,COMUNA 2,1425,C1425EMB
-58.39627587,-34.58484851,2015,NERUDA,AZ FILMS SA,LARGOMETRAJE CON I.N.C.A.A.,2015-06-13,"GELLY Y OBES, GRAL. AV. 2301","GELLY Y OBES, GRAL. AV.",2301,RECOLETA,COMUNA 2,1425,C1425EMC
-58.39627587,-34.58484851,2012,KNORR,ORUGA FILMS SA,CINE PUBLICITARIO,2012-10-05,"GELLY Y OBES, GRAL. AV. 2301","GELLY Y OBES, GRAL. AV.",2301,RECOLETA,COMUNA 2,1425,C1425EMC
-58.39627587,-34.58484851,2015,LOS HEREDEROS DE ANICETO,FUNDACION DEL CINE,ESTUDIANTES,2015-07-23,"GELLY Y OBES, GRAL. AV. 2301","GELLY Y OBES, GRAL. AV.",2301,RECOLETA,COMUNA 2,1425,C1425EMC
-58.39635299,-34.5850485,2014,JCREW,COMPAÑIA ARGENTINA DE PELICULAS SRL,FOTOGRAFIA,2014-11-19,"GELLY Y OBES, GRAL. AV. 2385","GELLY Y OBES, GRAL. AV.",2385,RECOLETA,COMUNA 2,1425,C1425EMC
-58.3963892,-34.58469703,2015,HISTORIAS DE UN CLAN,UNDERGROUND PRODUCCIONES SA,PROGRAMA TELEVISIVO,2015-03-06,"GELLY Y OBES, GRAL. AV. 2390","GELLY Y OBES, GRAL. AV.",2390,RECOLETA,COMUNA 2,1425,C1425EMD
-58.3963892,-34.58469703,2013,EL CIELO DEL CENTAURO,SAPRISTI SRL,LARGOMETRAJE NACIONAL,2013-07-11,"GELLY Y OBES, GRAL. AV. 2398","GELLY Y OBES, GRAL. AV.",2398,RECOLETA,COMUNA 2,1425,C1425EMD
-58.3963892,-34.58469703,2013,EL CIELO DEL CENTAURO,SAPRISTI SRL,LARGOMETRAJE NACIONAL,2013-11-14,"GELLY Y OBES, GRAL. AV. 2398","GELLY Y OBES, GRAL. AV.",2398,RECOLETA,COMUNA 2,1425,C1425EMD
-58.3963892,-34.58469703,2014,ESIKA,EL SANTUARIO SRL,FOTOGRAFIA,2014-05-08,"GELLY Y OBES, GRAL. AV. 2398","GELLY Y OBES, GRAL. AV.",2398,RECOLETA,COMUNA 2,1425,C1425EMD
-58.3963892,-34.58469703,2011,LA MUCAMA PERONISTA,MC PRODUCCIONES SRL,TV FICCION,2011-01-04,"GELLY Y OBES, GRAL. AV. 2398","GELLY Y OBES, GRAL. AV.",2398,RECOLETA,COMUNA 2,1425,C1425EMD
-58.3963892,-34.58469703,2011,MARIPOSAS,RASTI FILMS SA,CINE PUBLICITARIO,2011-05-26,"GELLY Y OBES, GRAL. AV. 2398","GELLY Y OBES, GRAL. AV.",2398,RECOLETA,COMUNA 2,1425,C1425EMD
-58.3963892,-34.58469703,2011,MARIPOSAS,RASTI FILMS SA,CINE PUBLICITARIO,2011-05-24,"GELLY Y OBES, GRAL. AV. 2398","GELLY Y OBES, GRAL. AV.",2398,RECOLETA,COMUNA 2,1425,C1425EMD
-58.3963892,-34.58469703,2015,SCHICK,COMPAÑIA ARGENTINA DE PELICULAS SRL,CINE PUBLICITARIO,2015-11-13,"GELLY Y OBES, GRAL. AV. 2398","GELLY Y OBES, GRAL. AV.",2398,RECOLETA,COMUNA 2,1425,C1425EMD
-58.37482181,-34.58337593,2015,EL PAPA DE LA GENTE,METROPOLIS FILMS SA,LARGOMETRAJE,2015-02-19,GENDARMERIA NACIONAL AV. 701,GENDARMERIA NACIONAL AV.,701,RETIRO,COMUNA 1,,
-58.50239714,-34.56141293,2013,GMS,TECNO FILMS SRL,CINE PUBLICITARIO,2013-11-14,"GERCHUNOFF, ALBERTO 5670","GERCHUNOFF, ALBERTO",5670,SAAVEDRA,COMUNA 12,1431,C1431GGB
-58.50239714,-34.56141293,2013,GMS,TECNO FILMS SRL,CINE PUBLICITARIO,2013-11-16,"GERCHUNOFF, ALBERTO 5670","GERCHUNOFF, ALBERTO",5670,SAAVEDRA,COMUNA 12,1431,C1431GGB
-58.50500851,-34.56190202,2012,GENERO IDENTIDAD II,EDUCAR SE,PROGRAMA TELEVISIVO,2012-07-19,"GERCHUNOFF, ALBERTO 5850","GERCHUNOFF, ALBERTO",5850,SAAVEDRA,COMUNA 12,1431,C1431GGF
-58.50500851,-34.56190202,2012,GENERO IDENTIDAD II,EDUCAR SE,PROGRAMA TELEVISIVO,2012-07-20,"GERCHUNOFF, ALBERTO 5850","GERCHUNOFF, ALBERTO",5850,SAAVEDRA,COMUNA 12,1431,C1431GGF
-58.42186827,-34.63886893,2015,EL TUNEL,HADDOCK FILMS SRL,LARGOMETRAJE CON I.N.C.A.A.,2015-09-22,GIBSON 4154,GIBSON,4154,BOEDO,COMUNA 5,1255,C1255AAF
-58.46723515,-34.58703471,2014,MI AMIGA DEL PARQUE,CAMPO CINE SRL,LARGOMETRAJE CON I.N.C.A.A.,2014-06-20,GIRARDOT 1500,GIRARDOT,1500,VILLA ORTUZAR,COMUNA 15,1427,C1427AKF
-58.46928186,-34.58543949,2013,EL LEOTARDO DE CORINA,FUNDACION DEL CINE,ESTUDIANTES,2013-06-05,GIRARDOT 1701,GIRARDOT,1701,VILLA ORTUZAR,COMUNA 15,1427,C1427AKK
-58.47023957,-34.58518167,2013,COCA ZERO,LANDIA SRL,CINE PUBLICITARIO,2013-11-05,GIRARDOT 1848,GIRARDOT,1848,VILLA ORTUZAR,COMUNA 15,1427,C1427AKN
-58.47029225,-34.58512421,2014,GLADE AUTO,I-REAL SRL,CINE PUBLICITARIO,2014-09-20,GIRARDOT 1851,GIRARDOT,1851,VILLA ORTUZAR,COMUNA 15,1427,C1427AKM
-58.47105859,-34.58510046,2013,CANON PRINT,METROPOLIS FILMS SA,CINE PUBLICITARIO,2013-12-03,GIRARDOT 1920,GIRARDOT,1920,VILLA ORTUZAR,COMUNA 15,1427,C1427AKP
-58.45701579,-34.57994476,2015,CARTONERO,3C FILMS GROUP SRL,PROGRAMA TELEVISIVO,2015-06-17,GIRIBONE 1041,GIRIBONE,1041,CHACARITA,COMUNA 15,1427,C1427CAM
-58.45701579,-34.57994476,2015,CHISTOSO,48M2 SA,CINE PUBLICITARIO,2015-03-09,GIRIBONE 1041,GIRIBONE,1041,CHACARITA,COMUNA 15,1427,C1427CAM
-58.45701579,-34.57994476,2013,LEVITE SORPRESA,ORUGA FILMS SA,CINE PUBLICITARIO,2013-06-28,GIRIBONE 1041,GIRIBONE,1041,CHACARITA,COMUNA 15,1427,C1427CAM
